row_order,row_type,parent_section,raw_item,normalized_item,unit,2024 本公司 已重述,2024 本集团 已重述,2025 本公司,2025 本集团
2,DETAIL,按费用项目,手续费及佣金支出,手续费及佣金支出,元,1050107575.54,1050107575.54,1052437858.39,1052437858.39
3,DETAIL,按费用项目,职工工资及福利费,职工工资及福利费,元,436431450.93,436431450.93,453061173.13,453061173.13
4,DETAIL,按费用项目,保险保障基金(注),保险保障基金,元,92425918.33,92425918.33,90167189.61,90167189.61
5,DETAIL,按费用项目,社会统筹保险费,社会统筹保险费,元,78392576.95,78392576.95,79538043.85,79538043.85
6,DETAIL,按费用项目,使用权资产折旧费,使用权资产折旧费,元,58405985.4,58405985.4,59630432.44,59630432.44
7,DETAIL,按费用项目,营销培训费,营销培训费,元,78331657.09,78331657.09,52565868.17,52565868.17
8,DETAIL,按费用项目,研究费用,研究费用,元,29046956.67,29046956.67,48843215.61,48843215.61
9,DETAIL,按费用项目,宣传费,宣传费,元,61250365.68,61250365.68,42820314.87,42820314.87
10,DETAIL,按费用项目,无形资产摊销,无形资产摊销,元,26587466.27,26587466.27,24188335.57,24188335.57
11,DETAIL,按费用项目,租赁费,租赁费,元,34719568.93,34719568.93,21641139.06,21641139.06
12,DETAIL,按费用项目,电子设备运转费,电子设备运转费,元,31117265.47,31117265.47,20068017.92,20068017.92
13,DETAIL,按费用项目,长期待摊费用摊销,长期待摊费用摊销,元,12290583.05,12290583.05,16274733.23,16274733.23
14,DETAIL,按费用项目,固定资产折旧费,固定资产折旧费,元,16001821.05,16001821.05,16230582.03,16230582.03
15,DETAIL,按费用项目,监管费,监管费,元,13569909.12,13569909.12,14944651.36,14944651.36
16,DETAIL,按费用项目,专业外包服务费,专业外包服务费,元,14102256.18,14102256.18,14628427.91,14628427.91
17,DETAIL,按费用项目,邮电费,邮电费,元,12270314.61,12270314.61,11376178.19,11376178.19
18,DETAIL,按费用项目,差旅费,差旅费,元,13083127.89,13083127.89,11173754.36,11173754.36
19,DETAIL,按费用项目,会议费,会议费,元,10972890.68,10972890.68,10706832.19,10706832.19
20,DETAIL,按费用项目,业务招待费,业务招待费,元,16554321.39,16554321.39,8326374.01,8326374.01
21,DETAIL,按费用项目,税金及附加,税金及附加,元,12256458.61,12256458.61,7909097.66,7940695.6
22,DETAIL,按费用项目,咨询费,咨询费,元,6139190.97,6139190.97,2832066.51,2832066.51
23,DETAIL,按费用项目,公杂费,公杂费,元,2729721.46,2729721.46,2557968.65,2557968.65
24,DETAIL,按费用项目,其他业务成本,其他业务成本,元,-490993786.8,-473196701.67,-353940694.43,-327784696.41
25,DETAIL,按费用项目,其他费用,其他费用,元,86589156.12,86589156.12,116006408.46,116207408.46
26,TOTAL,按费用项目,合计,合计,元,1702382751.59,1720179836.72,1823987968.75,1850376564.71
27,CLASSIFICATION_TOTAL,按费用项目,可归属于保险合同组合的费用,可归属于保险合同组合的费用,元,2001866793.3,2001866734.36,1976619664.19,1976619664.19
29,DETAIL,计入未到期责任负债的保险,获取现金流量,获取现金流量,元,1697906210.24,1697906210.24,1668932503.76,1668932503.76
30,DETAIL,计入未到期责任负债的保险,计入保险服务费用的金额,计入保险服务费用的金额,元,303960583.06,303960524.12,307687160.43,307687160.43
31,CLASSIFICATION_TOTAL,计入未到期责任负债的保险,不可归属于保险合同组合的费用,不可归属于保险合同组合的费用,元,-299484041.71,-281686897.64,-152631695.44,-126243099.48
